Event,DaystoEC,EC,adjCases,roughIFR,spreadWest,CWest,CRatchet,cDeadlyDis,cHiSpread
YELLOW,119,1,26.36134454,0.109977686,2,0.1,0.4,0.8789878142985488,0.001280819
EQ_EBOLA18,10,1,4.5,0.555555556,2,0.1,0,1,0
H1N1,10,1,140,0.063571429,5,1,1,0.7400062861694239,0.5735522762183823
MERS,453,1,0.181015453,0.548780488,3,0.35,1,1,0
POLIO,264,1,35.84848485,0.005,3,0.35,0.4,0.002951839,0.006348104
EBOLA2014,148,1,12.02027027,0.540191119,3,0.35,1,1,0
ZIKA,262,1,451.1755725,0.00351922,4,0.75,1,2.7279786703046026e-4,0.9114602610965921
KIVU_EBOLA18,77,1,2.857142857,0.645454546,2,0.1,0.4,1,0
COVID19,23,1,24.2173913,0.030520646,5,1,1,0.5889901461938575,7.834132797881561e-4
MPOX2022,36,1,94.80555556,2.92997363e-4,5,1,1,0,0.40607502875819934
MPOX2024,241,1,75.22123894,0.029411765,2,0.1,0.4,0.5830402051586254,0.16198801240904223
EBOLA2026,0,1,14.47058824,0.53658536590000006,1,0,1,1,0
