Event,EC,adjCases,roughIFR,spreadWest,CWest,CRatchet,cDeadlyDis,cHiSpread
2007 Uganda Ebola outbreak,0,1.7,0.3137254902,1,0,0.15,1,0
Mweka Ebola epidemic,0,21.7,0.4746543779,1,0,0.15,1,3.9606980760971926e-4
"2007 Puerto Rico, Dominican Republic, and Mexico dengue fever epidemic",0,2369.759398,2.903121411e-4,4,0.75,0.4,0,1
2007 Iraq cholera outbreak,0,1000,3.666666667e-4,1,0,0.15,0,1
2008 Brazil dengue epidemic,0,1339.666667,3.981089823e-4,3,0.35,0.15,0,1
2009 Bolivian dengue fever epidemic,0,35.83783784,0.005279034691,2,0.1,0.15,0.004029761200542705,0.0063389570640841305
2011 dengue outbreak in Pakistan,0,46.17037037,0.01002727419,2,0.1,0.15,0.09250316932608571,0.02057579226280052
"2011 Vietnam hand, foot, and mouth disease epidemic",0,174.8893443,0.002296534108,1,0,0.15,0,0.6310955394925379
"2012 yellow fever outbreak in Darfur, Sudan",0,0.6023391813,0.4077669903,1,0,0.4,1,0
2013 dengue outbreak in Singapore,0,625,0,3,0.35,0.15,0,0.9766530228454896
2014 Vietnam measles outbreak,0,24.64788732,0.02857142857,1,0,0.4,0.5784904122809587,8.696283470988404e-4
2015 Indian swine flu outbreak,0,183.3333333,0.06363636364,3,0.35,0.15,0.7402561256930746,0.6441408597928087
YELLOW,1,26.36134454,0.1099776857,2,0.1,0.4,0.8789878142985488,0.0012808187804384482
2017 India Encephalitis,0,13.03835616,0.125026266,3,0.35,0.15,0.9093395221049896,0
2017 dengue outbreak in Sri Lanka,0,441.4064171,0.003028724422,2,0.1,0.4,0,0.905820361496425
2017 dengue outbreak in Peshawar,0,1176.133333,7.179835997e-4,1,0,0.15,0,1
2018 Nipah virus outbreak in Kerala,0,1.8,0.9444444444,1,0,0.15,1,0
EQ_EBOLA18,1,4.5,0.5555555556,2,0.1,0,1,0
2019 Samoa measles outbreak,0,10.46666667,0.009554140127,2,0.1,0.4,0.07478524131275913,0
2019 measles outbreak in the Philippines,0,239.6226415,0.01598425197,3,0.35,0.4,0.5060176076680525,0.7228446034755582
2020 Nigeria yellow fever epidemic,0,20.38461538,0.3245283019,1,0,0.15,1,2.609081691597785e-4
2020 dengue outbreak in Singapore,0,54.61538462,0,2,0.1,0.15,0,0.0428861900521979
2023 South Poland Legionellosis outbreak,0,6.64,0.1385542169,5,1,0.15,0.9315920674898319,0
2024 Kwango province malaria outbreak,0,29.7,0.05387205387,1,0,0.15,0.7007210020642802,0.0024533132977714056
2024 American dengue epidemic,0,42600.16667,2.903520945e-4,5,1,0.4,0,1
2008 Cambodia dengue epidemic,0,105.5643836,0.01030339207,5,1,0.15,0.10412683755006004,0.5107362755690216
