Event,PHEIC,MeetingstoPHEIC,cFastPheic,crispFastPheic,EC,adjCases,roughIFR,spreadWest,crispWest,CWest,crispRatchet,CRatchet,crispDeadlyDis,cDeadlyDis,crispHiSpread,cHiSpread,ECPerExp
YELLOW,0,NA,0,0,1,26.36134454,0.109977686,2,0,0.1,0,0.4,1,0.8789878142985488,0,0.001280819,40
EQ_EBOLA18,0,NA,0,0,1,4.5,0.555555556,2,0,0.1,0,0,1,1,0,0,62.5
H1N1,1,1,1,1,1,140,0.063571429,5,1,1,1,1,1,0.7400062861694239,1,0.5735522762183823,0
MERS,0,NA,0,0,1,0.181015453,0.548780488,3,0,0.35,1,1,1,1,0,0,8.695652174
POLIO,1,1,1,1,1,35.84848485,0.005,3,0,0.35,0,0.4,0,0.002951839,0,0.006348104,23.07692308
EBOLA2014,1,1,1,1,1,12.02027027,0.540191119,3,0,0.35,1,1,1,1,0,0,27.27272727
ZIKA,1,1,1,1,1,451.1755725,0.00351922,4,1,0.75,1,1,0,2.7279786703046026e-4,1,0.9114602610965921,16.66666667
KIVU_EBOLA18,1,4,0.1,0,1,2.857142857,0.645454546,2,0,0.1,0,0.4,1,1,0,0,41.17647059
COVID19,1,2,0.75,1,1,24.2173913,0.030520646,5,1,1,1,1,1,0.5889901461938575,0,7.834132797881561e-4,44.44444444
MPOX2022,1,3,0.35,0,1,94.80555556,2.92997363e-4,5,1,1,1,1,0,0,0,0.40607502875819934,16
MPOX2024,1,1,1,1,1,75.22123894,0.029411765,2,0,0.1,0,0.4,1,0.5830402051586254,0,0.16198801240904223,61.11111111
